> x <- rnorm(100,mean = 0, sd = 1)
> x
  [1]  0.349307266  1.611477535  0.349025161  0.278046843  0.082393664
  [6]  0.295686753  1.919541080  0.937232873  1.178966936 -0.470936501
 [11] -0.516104641 -0.766380591 -1.372433841 -1.359599916 -0.348464434
 [16]  0.046202391 -0.004671473 -2.279343913  0.979380841 -0.902008249
 [21] -0.476052706 -0.276808823  1.048112672 -0.888802502 -0.344035284
 [26]  2.185126637 -1.561560475  0.454461364 -0.493223472 -2.856315060
 [31]  0.878986431 -0.166526645 -0.787329636  0.910782272 -0.534990700
 [36]  0.158562172 -1.114601887  0.625898260 -0.706533011  0.525401415
 [41]  2.382229555  0.541486610 -0.679156664 -2.474749981 -0.145940694
 [46] -0.113240797 -0.603708985 -0.017138807 -0.113987829 -0.101098915
 [51] -0.329512517 -0.156599567  1.698377271  0.006590487  1.077337184
 [56] -0.380595867  0.486071123  0.839606048 -0.009830804 -1.830427156
 [61] -0.268415649  0.237383151 -0.351983713 -0.635071065  1.064089916
 [66] -0.853509063 -0.128531843  2.109331651  0.238910451 -0.543364401
 [71] -0.617537101 -0.737038109 -1.052880582 -0.774597801  1.065858279
 [76] -0.495716660 -0.797800344 -0.438274353 -1.283649698 -0.850017411
 [81] -1.167294325  0.099651070 -1.024926091  1.917764492 -0.457315462
 [86]  0.611809142  0.374714584  0.475430889 -0.075211276  1.140848199
 [91] -0.907134381 -0.062566072  0.472155520  0.354744686 -0.989890392
 [96] -0.460306997 -0.530452361  1.722064746 -1.875904186  1.611293772
> boxplot(x)
> 
> library(ggplot2)
> y <- rnorm(100)
> y
  [1] -1.24378377 -0.53755626  0.32383451 -0.43654496 -0.48592556
  [6]  1.64466235 -1.10336367 -0.12477935  0.36886704 -0.63301546
 [11]  1.55537279  1.57406621 -0.78387909  0.09664751 -0.84864511
 [16] -1.11934742 -0.00192262 -0.51516413  0.47147868 -1.08297495
 [21] -1.75434881 -0.56339166 -2.16889256 -1.05939242 -1.58003870
 [26] -0.15168877  0.05989155  0.55119073  0.67773873 -0.46876408
 [31] -0.15154259 -0.57343933 -0.78588845  1.35449363 -1.52320643
 [36]  2.21303323  0.04206491  1.20396538  1.09466261  1.16848484
 [41]  1.46163692 -0.47843206 -0.48475664 -0.48641507 -0.81085277
 [46] -2.33072613  0.06894068  0.06816404 -0.19998234 -0.41425146
 [51] -0.14716788 -0.66035347 -1.37936960  1.80415521  0.23849971
 [56] -1.93596593 -0.41311537  1.24390840 -1.07899705  1.64319153
 [61] -1.21307744 -0.09650375 -0.01592567  0.09559883 -0.25425651
 [66] -2.26253900 -1.36709118 -1.95305262 -0.07679396  1.53115792
 [71] -1.25657823 -1.17814047  0.34430210  0.89379535 -0.62805182
 [76]  2.05893487 -0.33895843 -2.30627340 -0.77409338 -1.47490166
 [81]  0.13521748  2.43602861  0.56956706 -0.49989870 -1.08808383
 [86]  1.41407624  0.66186113 -0.08520879 -1.38498769 -0.06215220
 [91]  0.57328540  1.12376086  0.49447725  0.05736174 -1.52891908
 [96] -1.02019895  0.41897413  0.77876667  0.06542217 -0.53264773
> dat <- data.frame(cbind(x,y))
> dat
               x           y
1    0.349307266 -1.24378377
2    1.611477535 -0.53755626
3    0.349025161  0.32383451
4    0.278046843 -0.43654496
5    0.082393664 -0.48592556
6    0.295686753  1.64466235
7    1.919541080 -1.10336367
8    0.937232873 -0.12477935
9    1.178966936  0.36886704
10  -0.470936501 -0.63301546
11  -0.516104641  1.55537279
12  -0.766380591  1.57406621
13  -1.372433841 -0.78387909
14  -1.359599916  0.09664751
15  -0.348464434 -0.84864511
16   0.046202391 -1.11934742
17  -0.004671473 -0.00192262
18  -2.279343913 -0.51516413
19   0.979380841  0.47147868
20  -0.902008249 -1.08297495
21  -0.476052706 -1.75434881
22  -0.276808823 -0.56339166
23   1.048112672 -2.16889256
24  -0.888802502 -1.05939242
25  -0.344035284 -1.58003870
26   2.185126637 -0.15168877
27  -1.561560475  0.05989155
28   0.454461364  0.55119073
29  -0.493223472  0.67773873
30  -2.856315060 -0.46876408
31   0.878986431 -0.15154259
32  -0.166526645 -0.57343933
33  -0.787329636 -0.78588845
34   0.910782272  1.35449363
35  -0.534990700 -1.52320643
36   0.158562172  2.21303323
37  -1.114601887  0.04206491
38   0.625898260  1.20396538
39  -0.706533011  1.09466261
40   0.525401415  1.16848484
41   2.382229555  1.46163692
42   0.541486610 -0.47843206
43  -0.679156664 -0.48475664
44  -2.474749981 -0.48641507
45  -0.145940694 -0.81085277
46  -0.113240797 -2.33072613
47  -0.603708985  0.06894068
48  -0.017138807  0.06816404
49  -0.113987829 -0.19998234
50  -0.101098915 -0.41425146
51  -0.329512517 -0.14716788
52  -0.156599567 -0.66035347
53   1.698377271 -1.37936960
54   0.006590487  1.80415521
55   1.077337184  0.23849971
56  -0.380595867 -1.93596593
57   0.486071123 -0.41311537
58   0.839606048  1.24390840
59  -0.009830804 -1.07899705
60  -1.830427156  1.64319153
61  -0.268415649 -1.21307744
62   0.237383151 -0.09650375
63  -0.351983713 -0.01592567
64  -0.635071065  0.09559883
65   1.064089916 -0.25425651
66  -0.853509063 -2.26253900
67  -0.128531843 -1.36709118
68   2.109331651 -1.95305262
69   0.238910451 -0.07679396
70  -0.543364401  1.53115792
71  -0.617537101 -1.25657823
72  -0.737038109 -1.17814047
73  -1.052880582  0.34430210
74  -0.774597801  0.89379535
75   1.065858279 -0.62805182
76  -0.495716660  2.05893487
77  -0.797800344 -0.33895843
78  -0.438274353 -2.30627340
79  -1.283649698 -0.77409338
80  -0.850017411 -1.47490166
81  -1.167294325  0.13521748
82   0.099651070  2.43602861
83  -1.024926091  0.56956706
84   1.917764492 -0.49989870
85  -0.457315462 -1.08808383
86   0.611809142  1.41407624
87   0.374714584  0.66186113
88   0.475430889 -0.08520879
89  -0.075211276 -1.38498769
90   1.140848199 -0.06215220
91  -0.907134381  0.57328540
92  -0.062566072  1.12376086
93   0.472155520  0.49447725
94   0.354744686  0.05736174
95  -0.989890392 -1.52891908
96  -0.460306997 -1.02019895
97  -0.530452361  0.41897413
98   1.722064746  0.77876667
99  -1.875904186  0.06542217
100  1.611293772 -0.53264773
> ggplot() + geom_point(data = dat, aes(x=x,y=y), size = 3, color = "blue")
> boxplot(dat$x,dat$y,names = c('x','y'),xlab= 'x axis',ylab = 'y axis',col = "blue")
